cycle,time,temp,0,0,0,200,200,200,1.5625,1.5625,1.5625,400,400,400,3.125,3.125,3.125,800,800,800,6.25,6.25,6.25,2500,2500,12.5,12.5,12.5,25,25,25,50,50,50,100,100,100
1,0,18.5,0.1402,0.1451,0.1422,0.3212,0.3278,0.3005,0.2939,0.3023,0.3061,0.3218,0.3261,0.3202,0.2983,0.2927,0.3026,0.3237,0.3377,0.3327,0.2987,0.3014,0.3118,0.3325,0.3459,0.3093,0.3205,0.3012,0.3096,0.3016,0.3102,0.3091,0.309,0.308,0.3143,0.2936,0.3104
2,11.512,18.8,0.1361,0.1367,0.1417,0.3227,0.3321,0.3042,0.2981,0.3015,0.3037,0.3317,0.3308,0.3272,0.316,0.2934,0.3036,0.3364,0.3452,0.3418,0.3044,0.3041,0.3167,0.3371,0.3518,0.3105,0.3229,0.307,0.3087,0.3096,0.3071,0.3157,0.3138,0.3117,0.3198,0.3042,0.3165
3,23.027,18.7,0.1358,0.1369,0.1416,0.3282,0.3392,0.3114,0.3002,0.2998,0.3051,0.3337,0.3355,0.3318,0.3242,0.2939,0.3072,0.3452,0.3555,0.3528,0.3114,0.3019,0.319,0.3474,0.3622,0.3143,0.3272,0.3087,0.316,0.3077,0.3148,0.3168,0.3156,0.3162,0.3273,0.3083,0.3202
4,34.546,18.6,0.1358,0.1361,0.1441,0.3335,0.3427,0.3189,0.2974,0.3018,0.3078,0.341,0.344,0.3373,0.3239,0.2929,0.3091,0.3518,0.3627,0.3582,0.3109,0.3021,0.3165,0.3564,0.3691,0.3105,0.332,0.3053,0.3177,0.3097,0.3123,0.3194,0.3179,0.3239,0.3275,0.3147,0.3253
5,46.021,18.9,0.1358,0.1361,0.1411,0.3389,0.3515,0.3198,0.2999,0.3056,0.3105,0.3452,0.348,0.341,0.3196,0.3008,0.3102,0.357,0.3711,0.3683,0.3133,0.3041,0.3187,0.3714,0.378,0.3104,0.3297,0.3095,0.3181,0.3149,0.3158,0.3209,0.32,0.3266,0.3331,0.3159,0.332
6,57.473,18.6,0.1359,0.1362,0.1412,0.3394,0.3514,0.3225,0.3017,0.3024,0.3076,0.351,0.3533,0.3497,0.3155,0.2971,0.3118,0.3617,0.3756,0.3726,0.3136,0.3088,0.3198,0.3776,0.3881,0.3121,0.3301,0.3107,0.3213,0.3146,0.3163,0.3232,0.3237,0.3269,0.3368,0.3158,0.3312
7,68.949,19.1,0.1358,0.1364,0.1412,0.346,0.3568,0.3268,0.3016,0.3068,0.3088,0.3588,0.357,0.354,0.3191,0.3003,0.3144,0.3673,0.381,0.3768,0.3142,0.3061,0.3211,0.3858,0.3958,0.3179,0.3308,0.3147,0.3193,0.3181,0.318,0.3277,0.3263,0.3275,0.3387,0.318,0.335
8,80.421,18.6,0.1359,0.1366,0.1413,0.3492,0.3599,0.3334,0.3015,0.3047,0.3095,0.3608,0.36,0.3555,0.3216,0.3029,0.3092,0.3785,0.39,0.384,0.3154,0.304,0.3199,0.3971,0.4026,0.3141,0.3356,0.3144,0.3179,0.3184,0.3187,0.3303,0.3247,0.3279,0.3364,0.3189,0.3361
9,91.922,18.9,0.1359,0.1363,0.1408,0.3522,0.3615,0.3313,0.3021,0.3073,0.3103,0.3648,0.3675,0.3607,0.32,0.2972,0.3105,0.3814,0.396,0.3897,0.3121,0.3056,0.3233,0.4016,0.4097,0.3137,0.3314,0.31,0.3228,0.3189,0.3193,0.3314,0.3259,0.3327,0.3416,0.3235,0.3398
10,103.448,18.8,0.136,0.137,0.1418,0.3555,0.3706,0.3398,0.3022,0.3046,0.3124,0.3658,0.3702,0.3677,0.3209,0.2971,0.3143,0.3871,0.3985,0.3923,0.3169,0.3078,0.3239,0.4087,0.4199,0.3191,0.3346,0.3224,0.3228,0.3203,0.3205,0.3323,0.3279,0.3322,0.3459,0.3267,0.3408
11,114.989,18.6,0.1364,0.1369,0.1422,0.3627,0.3723,0.3393,0.304,0.308,0.3146,0.3732,0.3813,0.3678,0.3197,0.3002,0.3146,0.39,0.4011,0.3966,0.318,0.3074,0.3199,0.4174,0.4262,0.3162,0.3337,0.3143,0.3227,0.3223,0.3235,0.3347,0.3314,0.3315,0.3473,0.3302,0.3424
