cycle,time,temp,0,0,0,200,200,200,1.5625,1.5625,1.5625,400,400,400,3.125,3.125,3.125,800,800,800,6.25,6.25,6.25,2500,2500,2500,12.5,12.5,12.5,25,25,25,50,50,50,100,100,100
1,0,23.3,0.1253,0.1284,0.1322,0.3288,0.3139,0.3134,0.2756,0.2528,0.2536,0.3166,0.3425,0.3592,0.2531,0.2608,0.278,0.3601,0.4023,0.3742,0.2629,0.3027,0.3497,0.5502,0.3277,0.3341,0.2853,0.359,0.295,0.3414,0.3613,0.2734,0.2695,0.2872,0.2815,0.3268,0.3082,0.3281
2,26.842,23.7,0.1249,0.1242,0.1289,0.3461,0.3338,0.3288,0.2761,0.2558,0.2572,0.3406,0.3727,0.3906,0.2564,0.2685,0.2832,0.3873,0.4372,0.3948,0.2687,0.3069,0.3416,0.6063,0.3624,0.3635,0.2928,0.3642,0.299,0.3474,0.3662,0.282,0.2818,0.2985,0.2947,0.3438,0.3295,0.3485
3,53.689,23.7,0.1248,0.124,0.1287,0.3608,0.3514,0.3482,0.2773,0.2562,0.2592,0.3614,0.3952,0.4084,0.2568,0.267,0.2839,0.4186,0.457,0.4179,0.2707,0.3108,0.3642,0.6387,0.391,0.396,0.3001,0.3704,0.3066,0.358,0.3806,0.2906,0.2933,0.3085,0.3045,0.3774,0.341,0.3649
4,80.545,23.6,0.1248,0.1239,0.1286,0.375,0.3634,0.3581,0.2809,0.2576,0.2599,0.3795,0.4119,0.4269,0.26,0.2701,0.2869,0.436,0.48,0.4401,0.2766,0.3145,0.3485,0.6774,0.4214,0.4299,0.3056,0.3756,0.3084,0.3627,0.3984,0.299,0.303,0.3206,0.3165,0.3779,0.3549,0.3771
5,107.416,23.8,0.1248,0.1241,0.1287,0.3879,0.3764,0.3725,0.2811,0.2601,0.2625,0.3961,0.4328,0.4498,0.2622,0.2736,0.2909,0.4533,0.5057,0.4759,0.2796,0.3232,0.3648,0.7071,0.4471,0.454,0.3093,0.3761,0.3145,0.3757,0.3984,0.3067,0.3116,0.3283,0.3228,0.393,0.3678,0.3874
