NADH,temp,0_min,15_min,30_min,60_min,120_min
0,25,0.0542,0.0601,0.0595,0.0597,0.062
2,25,0.1407,0.141,0.1416,0.1418,0.1442
4,25,0.2626,0.2618,0.2621,0.2631,0.2632
6,25,0.3691,0.3693,0.3708,0.3675,0.3707
8,25,0.5124,0.5056,0.5101,0.505,0.5037
10,25,0.6076,0.6035,0.6017,0.6021,0.5996
0,25,0.0531,0.0536,0.0545,0.0534,0.0559
2,25,0.1451,0.1468,0.148,0.1484,0.1479
4,25,0.2516,0.2503,0.2506,0.2496,0.2488
6,25,0.3768,0.3773,0.3761,0.3752,0.3738
8,25,0.4969,0.4986,0.4965,0.4974,0.4933
10,25,0.6479,0.6443,0.6437,0.645,0.6422
