NADH,temp,0_min,15_min,30_min,60_min
0,45,0.074,0.1044,0.1178,0.1614
2,45,0.1558,0.1791,0.1946,0.235
4,45,0.2419,0.2571,0.2617,0.274
6,45,0.4174,0.4439,0.4569,0.4861
8,45,0.5374,0.6694,0.7057,0.8262
10,45,0.6827,0.7525,0.7747,0.8291
0,45,0.061,0.0737,0.0863,0.109
2,45,0.1783,0.2238,0.2517,0.3176
4,45,0.2758,0.2939,0.3032,0.3193
6,45,0.3929,0.4006,0.4184,0.4267
8,45,0.5233,0.5586,0.598,0.6321
10,45,0.6999,0.8011,0.8449,0.9592
