NADH,temp,0_min,30_min,60_min,120_min,180_min
0,25,0.0521,0.0517,0.0512,0.0541,0.0527
2,25,0.1411,0.141,0.1413,0.1411,0.141
4,25,0.2513,0.2511,0.2515,0.2505,0.2489
6,25,0.3868,0.3859,0.3879,0.386,0.3845
8,25,0.4991,0.4999,0.4984,0.5043,0.501
10,25,0.5982,0.5984,0.5985,0.5962,0.5948
0,25,0.0508,0.0523,0.0513,0.0527,0.0524
2,25,0.1428,0.1418,0.142,0.1419,0.1415
4,25,0.2471,0.247,0.2478,0.247,0.2454
6,25,0.3939,0.3941,0.3941,0.3951,0.3911
8,25,0.4927,0.4894,0.4905,0.4895,0.4845
10,25,0.6116,0.6067,0.607,0.6048,0.6032
