NADH,temp,0_min,10_min,30_min,60_min
0,28,0.2388,0.2117,0.1753,0.1737
2,28,0.7857,0.235,0.228,0.2255
4,28,0.3294,0.3272,0.3135,0.2902
6,28,0.4379,0.4257,0.4152,0.3968
8,28,0.4784,0.4797,0.4773,0.4712
10,28,1.2525,0.6654,0.5534,0.5368
0,28,0.2396,0.1984,0.1882,0.1839
2,28,0.2404,0.2378,0.234,0.2278
4,28,0.3392,0.3364,0.3098,0.3084
6,28,0.3651,0.3641,0.3616,0.4006
8,28,0.935,0.6359,0.568,0.5141
10,28,0.7989,0.8475,0.5716,0.5605
