EtOH,temp,sample_vol,n_flies,genotype,rep,hs_time,0_min,15_min,30_min,60_min,120_min
2500,25,25,1,adh-f,1,0,0.0626,0.1051,0.1513,0.2333,0.3677
2500,25,25,1,adh-f,1,5,0.0571,0.059,0.0681,0.0797,0.0984
2500,25,25,1,adh-f,1,10,0.0598,0.0674,0.072,0.0786,0.097
2500,25,25,1,adh-f,1,15,0.0537,0.0576,0.0623,0.0677,0.0786
2500,25,25,1,adh-f,1,20,0.0575,0.06,0.0635,0.064,0.0684
2500,25,25,1,adh-f,1,25,0.0575,0.0601,0.0618,0.0653,0.0669
2500,25,25,1,adh-f,1,30,0.0715,0.0982,0.0978,0.107,0.1154
2500,25,25,1,adh-f,1,35,0.0643,0.0773,0.0803,0.0885,0.0931
2500,25,25,1,adh-f,1,0,0.0708,0.1239,0.1788,0.2793,0.4455
2500,25,25,1,adh-f,1,5,0.055,0.0648,0.0778,0.099,0.1278
2500,25,25,1,adh-f,1,10,0.0568,0.0636,0.069,0.0783,0.0876
2500,25,25,1,adh-f,1,15,0.0583,0.0633,0.069,0.0756,0.0862
2500,25,25,1,adh-f,1,20,0.0539,0.0546,0.0562,0.0589,0.0629
2500,25,25,1,adh-f,1,25,0.0557,0.0587,0.0589,0.0608,0.0644
2500,25,25,1,adh-f,1,30,0.0602,0.0679,0.0673,0.0681,0.0704
2500,25,25,1,adh-f,1,35,0.061,0.0664,0.0709,0.077,0.0869
2500,25,25,1,adh-s,1,0,0.0718,0.1343,0.1821,0.2807,0.4558
2500,25,25,1,adh-s,1,5,0.0539,0.0655,0.0806,0.1018,0.134
2500,25,25,1,adh-s,1,10,0.0571,0.065,0.0729,0.0886,0.118
2500,25,25,1,adh-s,1,15,0.0527,0.0618,0.068,0.0772,0.1002
2500,25,25,1,adh-s,1,20,0.053,0.0562,0.0595,0.0631,0.0689
2500,25,25,1,adh-s,1,25,0.0527,0.0573,0.0601,0.0648,0.0772
2500,25,25,1,adh-s,1,30,0.0569,0.0587,0.0625,0.0659,0.0688
2500,25,25,1,adh-s,1,35,0.0624,0.0773,0.0812,0.0964,0.1139
2500,25,25,1,adh-s,1,0,0.0807,0.1385,0.1919,0.3041,0.5297
2500,25,25,1,adh-s,1,5,0.0539,0.0665,0.0748,0.0949,0.1286
2500,25,25,1,adh-s,1,10,0.0641,0.076,0.085,0.1006,0.1292
2500,25,25,1,adh-s,1,15,0.0533,0.0571,0.064,0.0738,0.0919
2500,25,25,1,adh-s,1,20,0.0547,0.0682,0.0742,0.0929,0.1014
2500,25,25,1,adh-s,1,25,0.0599,0.0745,0.0734,0.0734,0.0908
2500,25,25,1,adh-s,1,30,0.0527,0.0563,0.0568,0.0601,0.0622
2500,25,25,1,adh-s,1,35,0.0618,0.0655,0.068,0.0771,0.0852
2500,25,25,1,adh-f,2,0,0.0706,0.1173,0.1584,0.2365,0.3551
2500,25,25,1,adh-f,2,5,0.0559,0.0671,0.0732,0.0853,0.1048
2500,25,25,1,adh-f,2,10,0.0556,0.0604,0.0652,0.071,0.0797
2500,25,25,1,adh-f,2,15,0.0531,0.0561,0.059,0.0625,0.068
2500,25,25,1,adh-f,2,20,0.054,0.0577,0.0609,0.0646,0.0691
2500,25,25,1,adh-f,2,25,0.0555,0.0593,0.0613,0.0659,0.0698
2500,25,25,1,adh-f,2,30,0.0553,0.0561,0.0574,0.0596,0.0581
2500,25,25,1,adh-f,2,35,0.0611,0.0689,0.072,0.0704,0.0743
2500,25,25,1,adh-f,2,0,0.0657,0.118,0.1608,0.2446,0.3728
2500,25,25,1,adh-f,2,5,0.0548,0.0617,0.0675,0.0806,0.0979
2500,25,25,1,adh-f,2,10,0.0601,0.0698,0.0785,0.0921,0.1086
2500,25,25,1,adh-f,2,15,0.0547,0.0573,0.062,0.0657,0.0686
2500,25,25,1,adh-f,2,20,0.056,0.0609,0.0651,0.0645,0.0698
2500,25,25,1,adh-f,2,25,0.0564,0.0594,0.0619,0.061,0.0629
2500,25,25,1,adh-f,2,30,0.0556,0.057,0.0576,0.0576,0.0573
2500,25,25,1,adh-f,2,35,0.0616,0.0656,0.0671,0.0692,0.0707
2500,25,25,1,adh-s,2,0,0.0604,0.0912,0.1135,0.1509,0.2182
2500,25,25,1,adh-s,2,5,0.0586,0.0703,0.0758,0.0834,0.095
2500,25,25,1,adh-s,2,10,0.0586,0.0661,0.0708,0.0772,0.091
2500,25,25,1,adh-s,2,15,0.0618,0.0724,0.0878,0.0919,0.1066
2500,25,25,1,adh-s,2,20,0.0587,0.0677,0.0729,0.0745,0.0793
2500,25,25,1,adh-s,2,25,0.0691,0.0934,0.0961,0.0741,0.0756
2500,25,25,1,adh-s,2,30,0.056,0.0593,0.0585,0.0575,0.056
2500,25,25,1,adh-s,2,35,0.0702,0.0929,0.1266,0.1133,0.1168
2500,25,25,1,adh-s,2,0,0.0683,0.1104,0.1629,0.218,0.3022
2500,25,25,1,adh-s,2,5,0.056,0.0754,0.075,0.0841,0.0961
2500,25,25,1,adh-s,2,10,0.0606,0.0808,0.0908,0.082,0.097
2500,25,25,1,adh-s,2,15,0.0539,0.0665,0.0706,0.0695,0.0724
2500,25,25,1,adh-s,2,20,0.0653,0.068,0.0898,0.0787,0.077
2500,25,25,1,adh-s,2,25,0.0638,0.0655,0.0647,0.0701,0.0729
2500,25,25,1,adh-s,2,30,0.0547,0.0692,0.0774,0.0824,0.0901
2500,25,25,1,adh-s,2,35,0.0663,0.0814,0.0813,0.0907,0.0978
