cycle,time,temp,0,0,0,1.5,1.5,1.5,3,3,3,6,6,6,12.5,12.5,12.5,25,25,25
1,0,33,0.1332,0.1236,0.123,0.3187,0.31,0.2964,0.3107,0.312,0.3116,0.3079,0.3101,0.3174,0.3174,0.324,0.3201,0.309,0.3188,0.3083
2,6.418,33.3,0.13,0.1222,0.1222,0.3154,0.3121,0.3056,0.3163,0.3098,0.3096,0.3146,0.3095,0.3222,0.3165,0.3245,0.3182,0.3161,0.3428,0.309
3,12.848,33.3,0.1287,0.1218,0.1221,0.3171,0.3157,0.3137,0.3144,0.317,0.3126,0.3119,0.3121,0.3247,0.3249,0.3332,0.3187,0.3198,0.3274,0.3172
4,19.271,33.4,0.1281,0.1209,0.1218,0.3196,0.3164,0.3151,0.3158,0.3149,0.3143,0.3128,0.3146,0.3263,0.3263,0.3317,0.3204,0.326,0.3332,0.3222
5,25.69,33.4,0.1284,0.1208,0.1217,0.3227,0.3187,0.3131,0.3151,0.3162,0.3131,0.3211,0.3215,0.3321,0.3286,0.3322,0.3236,0.3398,0.3387,0.3301
6,32.124,33.5,0.1321,0.1206,0.1219,0.3251,0.3177,0.3201,0.3205,0.3213,0.3149,0.3119,0.3196,0.3321,0.3338,0.3357,0.3268,0.3344,0.3388,0.337
7,38.559,33.5,0.1301,0.1206,0.1227,0.3232,0.3209,0.3164,0.3221,0.3196,0.3158,0.3191,0.3187,0.331,0.3385,0.3351,0.3279,0.3374,0.3446,0.3376
8,44.99,33.6,0.1281,0.1205,0.1219,0.3261,0.3208,0.3304,0.3206,0.3223,0.3207,0.3175,0.3219,0.3325,0.3423,0.3395,0.3308,0.3404,0.3462,0.3388
9,51.426,33.6,0.1272,0.1202,0.1219,0.3262,0.3212,0.3175,0.3222,0.3219,0.3231,0.3209,0.3226,0.3344,0.3443,0.3426,0.3321,0.3438,0.3486,0.3411
10,57.864,33.5,0.1278,0.12,0.1218,0.3277,0.3218,0.3183,0.3214,0.3218,0.3193,0.3209,0.3218,0.3342,0.346,0.3402,0.3334,0.3462,0.3573,0.3479
