cycle,time,temp,0,0,0,50,50,50,100,100,100,200,200,200,400,400,400,800,800,800,2500,2500,2500
1,0,23.4,0.132,0.1351,0.1366,0.3372,0.3299,0.3361,0.3339,0.338,0.3599,0.346,0.3431,0.3463,0.353,0.3627,0.3565,0.339,0.3348,0.3404,0.3646,0.3665,0.3613
2,6.885,23.4,0.1323,0.1322,0.1329,0.3398,0.3342,0.345,0.3446,0.343,0.3677,0.3581,0.3526,0.3572,0.3678,0.3713,0.3723,0.3519,0.3605,0.3534,0.3813,0.3786,0.3791
3,13.762,23.5,0.1323,0.1322,0.1305,0.3473,0.3415,0.35,0.3506,0.3534,0.3753,0.3668,0.3628,0.3675,0.3791,0.3818,0.3845,0.3633,0.3578,0.3681,0.3964,0.3911,0.3916
4,20.631,23.3,0.1321,0.132,0.1302,0.365,0.3471,0.3576,0.3577,0.3608,0.3841,0.3768,0.3702,0.376,0.3907,0.3961,0.3997,0.3752,0.371,0.3783,0.4101,0.4028,0.4057
5,27.492,23,0.1317,0.1321,0.1321,0.3639,0.3561,0.363,0.3633,0.3693,0.3921,0.3873,0.3813,0.3854,0.4007,0.4044,0.4062,0.3865,0.3802,0.3892,0.4212,0.4191,0.4215
6,34.356,23.2,0.1317,0.132,0.1289,0.3638,0.361,0.3681,0.3705,0.3746,0.4027,0.3956,0.3912,0.3967,0.4169,0.4157,0.4161,0.3979,0.39,0.3984,0.433,0.4302,0.4463
7,41.222,23.5,0.1318,0.1322,0.1344,0.3686,0.3715,0.3731,0.3783,0.3836,0.4086,0.4072,0.3965,0.4035,0.4183,0.4229,0.4248,0.4091,0.4004,0.4109,0.448,0.4388,0.4428
8,48.077,23.5,0.1321,0.1318,0.1312,0.3738,0.3703,0.3797,0.3841,0.3878,0.4151,0.4134,0.4036,0.4123,0.4261,0.4335,0.4359,0.4171,0.4114,0.4208,0.4586,0.4518,0.4584
9,54.933,23.6,0.1315,0.1319,0.1316,0.3802,0.3782,0.3838,0.3901,0.3935,0.4225,0.4215,0.411,0.4183,0.4357,0.4427,0.4456,0.4253,0.4202,0.4307,0.4707,0.4631,0.4657
