cycle,time,temp,0,0,0,50,50,50,100,100,100,200,200,200,400,400,400,800,800,800,2500,2500,2500
1,0,18.5,0.1428,0.1478,0.139,0.4686,0.471,0.4628,0.4743,0.4746,0.4834,0.4603,0.4705,0.4774,0.4877,0.466,0.4496,0.4695,0.4576,0.4821,0.4881,0.484,0.5052
2,7.348,18.4,0.138,0.1465,0.1386,0.4723,0.4788,0.4684,0.4854,0.4844,0.4822,0.4658,0.4832,0.4807,0.4959,0.4778,0.4549,0.4812,0.4575,0.4848,0.4906,0.4994,0.5075
3,14.698,18.7,0.1382,0.146,0.1383,0.4803,0.4839,0.4696,0.4916,0.4873,0.4853,0.4711,0.4921,0.4851,0.5008,0.4841,0.4615,0.4886,0.4631,0.4922,0.4991,0.5119,0.5179
4,22.055,18.9,0.1379,0.145,0.1383,0.4813,0.4857,0.4768,0.4948,0.4928,0.4941,0.4748,0.4903,0.4932,0.5065,0.481,0.4651,0.4875,0.4692,0.4963,0.5065,0.5259,0.5255
5,29.417,18.7,0.1379,0.1455,0.1379,0.4835,0.4862,0.4796,0.4973,0.4977,0.5013,0.4826,0.4961,0.4959,0.5072,0.491,0.4729,0.4935,0.4768,0.5003,0.5125,0.5282,0.5389
6,36.776,18.9,0.1379,0.1452,0.1379,0.4913,0.4925,0.4834,0.5029,0.4994,0.5017,0.4835,0.5053,0.5012,0.5141,0.4985,0.4752,0.4981,0.481,0.5084,0.5212,0.5329,0.5441
7,44.132,18.6,0.1374,0.1445,0.138,0.4952,0.4962,0.4852,0.5083,0.501,0.5059,0.4889,0.504,0.505,0.5195,0.5033,0.4782,0.5081,0.4838,0.5102,0.5285,0.539,0.5452
8,51.475,18.5,0.1374,0.1443,0.1381,0.4927,0.5005,0.4862,0.5096,0.502,0.5048,0.489,0.509,0.5109,0.5228,0.5039,0.4826,0.508,0.4891,0.5177,0.5398,0.5455,0.5485
9,58.819,18.8,0.137,0.1441,0.138,0.4944,0.5058,0.4865,0.5129,0.5102,0.5078,0.4986,0.518,0.5165,0.5278,0.5119,0.4864,0.5141,0.4934,0.5208,0.5429,0.5502,0.5602
,,,,,,,,,,,,,,,,,,,,,,,
